=================================
line 50 : Was expecting a soundverb here (MOVE, DESTROY, CANTMOVE, or the like), but found something else.
line 51 : Was expecting a soundverb here (MOVE, DESTROY, CANTMOVE, or the like), but found something else.
line 95 : Maps must be rectangular, yo (In a level, the length of each row must be the same).
line 96 : Maps must be rectangular, yo (In a level, the length of each row must be the same).
line 97 : Maps must be rectangular, yo (In a level, the length of each row must be the same).
line 98 : Maps must be rectangular, yo (In a level, the length of each row must be the same).
line 99 : Maps must be rectangular, yo (In a level, the length of each row must be the same).
line 100 : Maps must be rectangular, yo (In a level, the length of each row must be the same).
line 101 : Maps must be rectangular, yo (In a level, the length of each row must be the same).
line 102 : Maps must be rectangular, yo (In a level, the length of each row must be the same).
line 107 : Maps must be rectangular, yo (In a level, the length of each row must be the same).
line 108 : Maps must be rectangular, yo (In a level, the length of each row must be the same).
line 109 : Maps must be rectangular, yo (In a level, the length of each row must be the same).
line 110 : Maps must be rectangular, yo (In a level, the length of each row must be the same).
line 111 : Maps must be rectangular, yo (In a level, the length of each row must be the same).
line 113 : Maps must be rectangular, yo (In a level, the length of each row must be the same).
Errors detected during compilation; the game may not work correctly.
